stop_name,stop_lat,stop_lon,stop_id
HOSEA L WILLIAMS DR NE @ NORWOOD AVE NE,33.751171,-84.320145,306
HOSEA L WILLIAMS DR @ KIRKWOOD RD,33.751175,-84.321533,307
HOSEA L WILLIAMS DR @ DOYLE ST SE,33.75272,-84.324722,308
HOSEA L WILLIAMS DR @ WARREN ST NE,33.753239,-84.325806,309
HOSEA L WILLIAMS DR @ ROGERS ST NE,33.75339,-84.329028,310
HOSEA L WILLIAMS DR NE @ CLAY ST NE,33.75339,-84.330333,311
HOSEA L WILLIAMS DR @ CLIFTON ST NE,33.753399,-84.331616,312
HOSEA L WILLIAMS DR @ WYMAN ST NE,33.753408,-84.333007,313
HOSEA L WILLIAMS DR @ WOODBINE AVE,33.753417,-84.334573,314
HOSEA L WILLIAMS DR @ ANNISTON AVE SE,33.753443,-84.337573,315
HOSEA L WILLIAMS DR SE @ MAYSON AVE,33.753443,-84.338497,316
HOSEA L WILLIAMS DR @ HOWARD ST NE,33.751984,-84.323425,317
MEMORIAL DR SE@TRENTON ST SE,33.747552,-84.345855,318
MEMORIAL DR SE@HAAS AVE SE,33.747535,-84.344388,319
MEMORIAL DR SE@PATTERSON AVE SE,33.747535,-84.343247,320
MEMORIAL DR SE@MEMORIAL TER SE,33.747535,-84.342344,321
MEMORIAL DR SE@DOUGLAS ST SE,33.747313,-84.319886,322
MEMORIAL DR SE@2154,33.747295,-84.317255,323
MEMORIAL DR SE @ WATSON CIR,33.747294,-84.315429,324
MEMORIAL DR SE @ DIXIE ST SE,33.747464,-84.335137,325
MEMORIAL DR SE @ WILKINSON DR SE,33.747447,-84.328539,326
MEMORIAL DR SE @ CLIFTON ST SE,33.747524,-84.331581,327
MEMORIAL DR SE @ WYMAN ST SE,33.747627,-84.332749,328
MEMORIAL DR SE @ DIXIE ST SE,33.747545,-84.3358,329
MEMORIAL DR SE@1560,33.747635,-84.337524,330
MEMORIAL DR SE@LAMON AVE SE,33.747555,-84.338493,331
MEMORIAL DR SE@EASTSIDE AVE SE,33.747654,-84.339737,332
MEMORIAL DR SE@PATTERSON AVE SE,33.747643,-84.343185,333
MEMORIAL DR SE@HAAS AVE SE,33.747612,-84.344353,334
MEMORIAL DR SE@DAHLGREEN ST SE,33.747612,-84.345329,335
GLENWOOD AVE SE@TERRY MILL RD SE,33.739668,-84.322115,336
GLENWOOD AVE SE@LOMITA RD,33.73991,-84.320637,337
GLENWOOD AVE SE@LOMITA RD SE,33.740017,-84.320694,338
GLENWOOD AVE SE @ EVA DAVIS WAY,33.740002,-84.314038,339
GLENWOOD AVE SE @ EVA DAVIS WAY,33.740196,-84.313865,340
LA FRANCE ST @ WHITEFOORD AVE,33.760443,-84.342532,341
MEMORIAL DR SE @ S HOWARD ST,33.747402,-84.32356,342
GLENWOOD AVE SE @ HOWARD ST SE,33.739838,-84.326354,343
HOSEA L WILLIAMS DR @ ANNISTON AVE SE,33.753372,-84.337649,344
HOSEA L WILLIAMS DR @ WOODBINE AVE SE,33.753345,-84.334692,345
HOSEA L WILLIAMS DR @ WYMAN ST SE,33.753345,-84.33317,346
HOSEA L WILLIAMS DR @ CLIFTON ST NE,33.753328,-84.331583,347
HOSEA L WILLIAMS DR @ CLAY ST NE,33.753328,-84.33042,348
HOSEA L WILLIAMS DR @ ROGERS ST SE,33.753319,-84.329268,349
HOSEA L WILLIAMS DR SE @ WARREN ST SE,33.753301,-84.326561,350
HOSEA L WILLIAMS DR @ DOYLE ST SE,33.752415,-84.324343,351
HOSEA L WILLIAMS DR @ HOWARD ST SE,33.751466,-84.322854,352
HOSEA L WILLIAMS DR NE @ NORWOOD AVE NE,33.75109,-84.320669,353
HOSEA L WILLIAMS DR NE @ BATES AVE SE,33.751072,-84.317701,354
HOSEA L WILLIAMS DR NE @ LAKEVIEW DR SE,33.751036,-84.31432,355
MEMORIAL DR SE@1422,33.747517,-84.341214,356
MEMORIAL DR SE@EASTSIDE AVE SE,33.747518,-84.339703,357
MEMORIAL DR SE@LAMON AVE SE,33.747509,-84.338616,358
MEMORIAL DR SE@1599,33.747491,-84.33755,359
MEMORIAL DR SE@CLIFTON ST SE,33.747429,-84.33193,360
MEMORIAL DR SE@WILKINSON DR SE,33.747253,-84.328728,361
MEMORIAL DR SE @ WARREN ST SE,33.747366,-84.326321,362
MEMORIAL DR SE@ELEANOR ST,33.74734,-84.324859,363
FLAT SHOALS AVE SE @ MAY AVE SE,33.739058,-84.343918,364
MEMORIAL DR SE @ WARREN ST SE,33.747429,-84.326234,365
MEMORIAL DR @ PALATKA ST SE,33.747494,-84.321144,366
MEMORIAL DR SE @ DOUGLAS ST SE,33.747366,-84.319451,367
MEMORIAL DR SE @ 2154,33.747366,-84.317201,368
GLENWOOD AVE SE@PATTERSON AVE SE,33.740079,-84.343658,369
GLENWOOD AVE@PATTERSON AVE,33.740159,-84.343114,370
GLENWOOD AVE SE@EASTSIDE AVE SE,33.739954,-84.340209,371
GLENWOOD AVE SE@EASTSIDE AVE SE,33.74014,-84.33985,372
GLENWOOD AVE@BLAKE AVE SE,33.740008,-84.338191,373
GLENWOOD AVE@MCWILLIAMS AVE,33.739938,-84.336171,374
GLENWOOD AVE@BLAKE AVE,33.740079,-84.338288,375
GLENWOOD AVE SE@FLAT SHOALS AVE SE,33.740105,-84.345593,376
FLAT SHOALS AVE @ GLENWOOD AVE,33.739864,-84.345011,377
